15 15														
0,0	0,0	10,0	4,0	24,0	7,0	0,0	0,0	0,0	0,0	17,0	15,0	0,0	41,0	5,0
0,0	0,18	0	0	0	0	0,0	0,0	0,0	0,14	0	0	0,17	0	0
0,0	16,15	0	0	0	0	17,0	0,0	0,0	0,10	0	0	3,11	0	0
0,11	0	0	23,18	0	0	0	17,0	0,0	0,0	38,10	0	0	0	0,0
0,17	0	0	0	16,0	0,17	0	0	3,0	0,17	0	0	0	0	3,0
0,0	0,0	0,13	0	0	21,0	0,10	0	0	23,10	0	0	4,10	0	0
0,0	0,0	0,22	0	0	0	7,0	0,13	0	0	0	0,8	0	0	0
0,0	0,0	29,0	17,0	0,7	0	0	0,0	0,11	0	0	0,6	0	0	0,0
0,0	4,11	0	0	0,3	0	0	16,0	0,17	0	0	17,0	24,0	0,0	0,0
0,16	0	0	0	35,13	0	0	0	3,0	0,24	0	0	0	0,0	0,0
0,11	0	0	4,12	0	0	0,11	0	0	17,0	0,17	0	0	29,0	4,0
0,0	0,13	0	0	0	0	0,0	0,10	0	0	23,0	6,20	0	0	0
0,0	17,14	0	0	0	16,0	0,0	0,0	0,15	0	0	0	3,6	0	0
0,9	0	0	0,16	0	0	0,0	0,0	0,0	0,18	0	0	0	0	0,0
0,13	0	0	0,14	0	0	0,0	0,0	0,0	0,22	0	0	0	0	0,0
